Name,House,Year
Sebastian Adams,SNAKES,1
Audrey Anderson,SNAKES,2
Noah Anderson,Eagletalon,7
Emily Bailey,Pufflehuff,2
Madison Bailey,SNAKES,4
Savannah Bailey,Pufflehuff,1
Scarlett Bailey,Pufflehuff,7
Aiden Bell,Lannister,3
Camila Bell,Pufflehuff,5
Oliver Bell,SNAKES,6
Grace Bennett,Pufflehuff,6
Stacy Bennett,Pufflehuff,6
Stella Bennett,SNAKES,1
Hannah Brooks,Eagletalon,7
Logan Brooks,Pufflehuff,3
Riley Brown,Pufflehuff,1
Aaron Butler,Lannister,1
Abigail Butler,Eagletalon,6
Aiden Butler,Lannister,3
Hannah Butler,Pufflehuff,1
Hazel Butler,SNAKES,4
Lillian Butler,Eagletalon,5
Chloe Campbell,Eagletalon,3
Evelyn Campbell,SNAKES,3
Leah Campbell,Lannister,8
Savannah Campbell,Pufflehuff,7
Skylar Campbell,SNAKES,3
Lily Carter,SNAKES,3
Abigail Clark,Pufflehuff,1
Liam Collins,SNAKES,4
Brooklyn Cooper,Pufflehuff,1
Emma Cooper,SNAKES,6
Daniel Cox,Eagletalon,8
Isabella Cruz,Lannister,8
Luke Cruz,Lannister,6
Mason Cruz,Pufflehuff,4
Noah Cruz,Lannister,8
Penelope Cruz,Eagletalon,2
Theodore Cruz,Lannister,7
Leah Diaz,Eagletalon,2
Zoey Diaz,SNAKES,1
Aiden Edwards,SNAKES,7
Carter Edwards,Pufflehuff,7
Christopher Edwards,Pufflehuff,5
Elijah Edwards,Pufflehuff,1
Ethan Evans,Pufflehuff,3
Camila Flores,Pufflehuff,1
Ella Flores,SNAKES,5
Jackson Flores,SNAKES,8
Owen Flores,SNAKES,5
Wyatt Foster,SNAKES,7
Leah Garcia,Lannister,3
Harper Gomez,Pufflehuff,6
Mateo Gomez,SNAKES,6
Mia Gomez,Eagletalon,3
Oliver Gonzalez,Pufflehuff,5
Benjamin Gray,Eagletalon,4
Abigail Green,SNAKES,5
Julian Green,Lannister,7
Joshua Gutierrez,SNAKES,7
Theodore Gutierrez,Lannister,5
Addison Hall,Eagletalon,4
Joseph Hall,SNAKES,1
Anthony Hernandez,Eagletalon,1
Aubrey Hernandez,Lannister,4
Charlotte Hill,Lannister,1
David Hill,Lannister,8
Theodore Hill,SNAKES,2
Aurora Howard,Pufflehuff,7
John Howard,Eagletalon,2
Aurora Hughes,Eagletalon,3
Lucas Hughes,SNAKES,8
Mateo Hughes,Lannister,7
Olivia Jackson,Pufflehuff,2
Violet Jackson,Pufflehuff,2
Bella James,Pufflehuff,6
Dylan James,Pufflehuff,5
Grayson James,SNAKES,4
Sofia James,Lannister,4
Penelope Jenkins,Pufflehuff,1
Addison Johnson,Eagletalon,8
Julian Johnson,Lannister,1
Lucas Johnson,SNAKES,8
Alexander Jones,Eagletalon,4
Christopher Kelly,Pufflehuff,5
Skylar Kelly,Pufflehuff,8
Sofia Kelly,SNAKES,8
Violet King,Eagletalon,7
Isabella Lee,Eagletalon,7
Lincoln Lee,SNAKES,5
Jackson Lewis,Pufflehuff,2
Aria Long,SNAKES,3
Isabella Long,Lannister,4
